Model,Learning_Rate,Batch_Size,Weight_Decay,Dataset_1_Accuracy,Dataset_1_Precision,Dataset_1_Recall,Dataset_1_F1_Score,Dataset_2_Accuracy,Dataset_2_Precision,Dataset_2_Recall,Dataset_2_F1_Score
BERT,2e-05,16,0.01,0.88,0.883,0.88,0.8785,0.79,0.7906,0.79,0.7891
BERT,3e-05,16,0.01,0.8875,0.8917,0.8875,0.8867,0.7,0.7742,0.7,0.6516
BERT,2e-05,32,0.01,0.845,0.8566,0.845,0.8461,0.8475,0.8556,0.8475,0.8468
BERT,3e-05,32,0.01,0.8643,0.8512,0.862,0.8565,0.8525,0.8698,0.8548,0.8536
BERT,2e-05,16,0.1,0.8425,0.844,0.8425,0.8424,0.85,0.8584,0.85,0.8496
BERT,3e-05,16,0.1,0.85,0.86155,0.85,0.8492,0.85,0.8615,0.85,0.8492
BERT,2e-05,32,0.1,0.8475,0.8544,0.8475,0.848,0.845,0.8531,0.845,0.8444
BERT,3e-05,32,0.1,0.865,0.8749,0.865,0.8652,0.865,0.8749,0.865,0.8652
DistilBERT,2e-05,16,0.01,0.8,0.7926,0.8,0.7924,0.4775,0.4134,0.4775,0.3702
DistilBERT,3e-05,16,0.01,0.83,0.8428,0.83,0.8314,0.535,0.6171,0.535,0.4851
DistilBERT,2e-05,32,0.01,0.75,0.7582,0.75,0.7244,0.3725,0.2343,0.3725,0.2373
DistilBERT,3e-05,32,0.01,0.81,0.8062,0.81,0.8033,0.4325,0.2626,0.4325,0.3247
DistilBERT,2e-05,16,0.1,0.835,0.8349,0.835,0.8329,0.4775,0.413,0.4775,0.37
DistilBERT,3e-05,16,0.1,0.83,0.8428,0.83,0.8314,0.53,0.6073,0.53,0.4825
DistilBERT,2e-05,32,0.1,0.75,0.7582,0.75,0.7244,0.375,0.2384,0.375,0.2386
DistilBERT,3e-05,32,0.1,0.81,0.8062,0.81,0.8033,0.4375,0.2661,0.4375,0.329
